event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
340,22,Barcelona,away, 70 ,Substitution, Ferran Torres , Sergi Roberto 
341,22,Barcelona,away, 71 ,Yellow card, Robert Lewandowski ,
342,22,Manchester United,home, 73 ,Goal, Antony ,
343,22,Barcelona,away, 75 ,Substitution, Ansu Fati , Raphinha 
344,22,Manchester United,home, 78 ,Yellow card, Alejandro Garnacho ,
345,22,Barcelona,away, 82 ,Substitution, Marcos Alonso , Ronald Araújo 
346,22,Barcelona,away, 83 ,Yellow card, Sergio Busquets ,
347,22,Manchester United,home, 86 ,Yellow card, Casemiro ,
348,22,Manchester United,home, 88 ,Substitution, Scott McTominay , Marcus Rashford 
349,23,Sporting CP,away, 21 ,Goal, Sebastián Coates ,
350,23,Sporting CP,away, 33 ,Yellow card, Ricardo Esgaio ,
351,23,Midtjylland,home, 36 ,Yellow card, Paulinho ,
352,23,Midtjylland,home, 38 ,Second yellow card, Paulinho ,
353,23,Midtjylland,home, 45 ,Substitution, Emam Ashour , Valdemar Byskov 
354,23,Sporting CP,away, 45 ,Substitution, Hector Bellerin , Ricardo Esgaio 
355,23,Midtjylland,home, 45 ,Substitution, Viktor Bak , Oliver Sørensen 
356,23,Midtjylland,home, 45 ,Substitution, Edward Chilufya , Astrit Selmani 
357,23,Sporting CP,away, 50 ,Goal, Pedro Gonçalves ,
358,23,Sporting CP,away, 53 ,Substitution, Mateus Fernandes , Hidemasa Morita 
359,23,Sporting CP,away, 65 ,Substitution, Trincão , Marcus Edwards 
360,23,Sporting CP,away, 65 ,Substitution, Nuno Santos , Arthur Gomes 
361,23,Midtjylland,home, 72 ,Substitution, Mads Thychosen , Joel Andersson 
362,23,Sporting CP,away, 74 ,Yellow card, Manuel Ugarte ,
363,23,Midtjylland,home, 74 ,Yellow card, Emam Ashour ,
364,23,Sporting CP,away, 77 ,Goal, Pedro Gonçalves , Nuno Santos 
365,23,Sporting CP,away, 78 ,Substitution, Mateo Tanlongo , Manuel Ugarte 
366,23,Midtjylland,home, 79 ,Substitution, Frederik Heiselberg , Gustav Isaksen 
367,23,Sporting CP,away, 85 ,Own goal, Stefan Gartenmann , Own goal 
368,23,Midtjylland,home, 90 ,Yellow card, Armin Gigović ,
369,24,Sevilla,away, 33 ,Yellow card, Marcos Acuña ,
370,24,PSV,home, 62 ,Substitution, Fábio Silva , Érick Gutiérrez 
371,24,PSV,home, 62 ,Substitution, Mauro Júnior , Patrick van Aanholt 
372,24,Sevilla,away, 68 ,Substitution, Suso , Oliver Torres 
373,24,Sevilla,away, 69 ,Substitution, Lucas Ocampos , Youssef En-Nesyri 
374,24,PSV,home, 77 ,Goal, Luuk de Jong , Fábio Silva 
375,24,Sevilla,away, 79 ,Yellow card, Tanguy Nianzou ,
376,24,Sevilla,away, 80 ,Substitution, Gonzalo Montiel , Jesus Navas 
377,24,Sevilla,away, 82 ,Yellow card, Marko Dmitrović ,
378,24,PSV,home, 84 ,Yellow card, Phillipp Mwene ,
379,24,Sevilla,away, 86 ,Substitution, Rafa Mir , Bryan Gil 
380,24,Sevilla,away, 92 ,Yellow card, Rafa Mir ,
